2022-08-22 11:51:21.799  INFO [authorizationService,,] 21120 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : Starting AuthorizationMicroserviceApplication using Java 15.0.2 on LAPTOP-PDMVOPJG with PID 21120 (C:\Users\hp\Desktop\PensionManagementSystem-master\authorization-microservice\target\classes started by hp in C:\Users\hp\Desktop\PensionManagementSystem-master\authorization-microservice)
2022-08-22 11:51:21.906  INFO [authorizationService,,] 21120 --- [restartedMain] c.c.AuthorizationMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-08-22 11:51:23.357  INFO [authorizationService,,] 21120 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-08-22 11:51:23.360  INFO [authorizationService,,] 21120 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-08-22 11:51:37.094  INFO [authorizationService,,] 21120 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-08-22 11:51:37.706  INFO [authorizationService,,] 21120 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 576 ms. Found 1 JPA repository interfaces.
2022-08-22 11:51:42.659  INFO [authorizationService,,] 21120 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=528b1acf-83df-34cd-88dd-6d1010a2cef8
2022-08-22 11:51:52.539  INFO [authorizationService,,] 21120 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9095 (http)
2022-08-22 11:51:52.618  INFO [authorizationService,,] 21120 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-08-22 11:51:52.620  INFO [authorizationService,,] 21120 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-08-22 11:51:54.469  INFO [authorizationService,,] 21120 --- [restartedMain] o.a.c.c.C.[.[.[/authorization]           : Initializing Spring embedded WebApplicationContext
2022-08-22 11:51:54.471  INFO [authorizationService,,] 21120 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 31108 ms
2022-08-22 11:51:54.877  INFO [authorizationService,,] 21120 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-08-22 11:51:59.213  INFO [authorizationService,,] 21120 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-08-22 11:51:59.241  INFO [authorizationService,,] 21120 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-08-22 11:52:06.151  INFO [authorizationService,,] 21120 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-08-22 11:52:07.244  INFO [authorizationService,,] 21120 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
